order_id,order_quantity,seller_id,product_id,product_price,product_name,buyer_id,first_name,last_name,email,address,city,country,cc_number,cc_exp,review,rating,seller_name,seller_country,order_date
130001,5,32181,73215,17297,"Remarkable Collagen",16228,Marley,Bode,stefan.treutel@collier.com,"17 Hudson Rise",Celestinoston,"New Zealand",4929505837537784,03-2029,"Qui magni ratione aperiam quae nemo iste harum.",2.5,"Hartmann, Mann and Jones","United Kingdom",07-23-2025
130002,9,45621,124491,14817,"Magnificent Push-up handles",1556,Zachariah,Gutmann,aroberts@boehm.org,"Block 74, Chik Sha Court",Kowloon,"Hong Kong",4539032313139524,06-2028,"Esse molestias adipisci quaerat quo voluptas.",3.5,Bartell-Brakus,"Hong Kong",10-18-2023
130003,7,35594,57407,12048,"Unappetizing Camp cot",6820,Helga,Koss,kuhic.albin@hotmail.com,"41A Hermann Mission",Cabadbaran,Philippines,5277966772158165,02-2027,"Temporibus culpa consequatur facere dicta sapiente consequatur explicabo.",5,"Pouros and Sons","Hong Kong",11-28-2021
130004,2,42437,103869,12415,"Simple Travel journal",15266,Efe,Chidinma,ricardo32@wiza.biz,"17 Muinat Street",OmawunmiVille,Nigeria,4929964049837021,06-2027,"Labore aut aliquam sapiente voluptatibus voluptatum a.",5,Kuhn-Schumm,"South Africa",09-29-2021
130005,6,40026,102582,4852,"Bewitching Hair dryer",20424,Wendy,Cremin,rocky.littel@kreiger.org,"297 Mayert Line",Susanaston,"New Zealand",2309360144672591,01-2027,"Placeat minima nesciunt mollitia beatae.",4,"DuBuque, Emmerich and Smith","Hong Kong",07-16-2023
130006,7,45921,47080,2618,"Dreary Racket",29570,Obioma,Wilcox,kenya.yundt@hotmail.com,"16 Omobolanle Street",LolaVille,Nigeria,4024007189799538,01-2029,"Recusandae quia rem aut voluptatibus dolor.",5,Batz-Heathcote,India,09-23-2021
130007,6,35125,106356,2064,"Jubilant Hair dryer",29792,Chinyere,Esther,hagenes.marjorie@waelchi.com,"28 Olaoluwa Street",AkanniVille,Nigeria,2604689098934678,11-2027,"Est architecto odit sed ullam.",1,Lindgren-Beier,Nigeria,11-04-2024
130008,7,35694,125578,3438,"Fantastic Ball",26162,Jane,Doe,julian11@yahoo.com,"Jalan Doe Walk",JaneVille,Singapore,5261246460180724,02-2028,"Quasi et incidunt inventore.",2,Grimes-Zboncak,"New Zealand",05-31-2023
130009,8,43909,49092,1240,"Monochrome Cymbals",29382,Jobin,Patla,stamm.prince@emmerich.biz,"66, Niyati Society, Nandini Nagar",Faridabad,India,5557067415047021,03-2027,"Rem et occaecati laborum ullam.",4.5,"Bergstrom, Carroll and White","Hong Kong",12-14-2022
130010,8,35554,88646,4617,"Stunning Book",20936,Suraj,Choudhury,alyson57@gmail.com,"97, Mowgli Nagar,",Gurgaon,India,2511386692073092,03-2027,"Ipsa qui et necessitatibus non rerum consequatur.",1,"Powlowski, Paucek and Sporer",Uganda,12-07-2024
130011,2,40914,114200,3021,"Unexciting Conditioner",17452,Whitney,Cassin,rbeier@hotmail.com,"46 Nou Tsing Lo East Street",Kowloon,"Hong Kong",5204882824453728,09-2028,"Dolor nulla cupiditate nisi atque tenetur.",1.5,"Emard, Nitzsche and Durgan","United States",11-07-2021
130012,8,39946,82986,3844,"Typical Shampoo",15130,Fatima,Kimberly,antwan.leffler@abernathy.com,"68 Chibike Street",SumayyahVille,Nigeria,6011526172463539,09-2027,"Et dolor officiis reprehenderit et.",1,Aufderhar-Pacocha,India,06-10-2025
130013,9,32328,110308,4585,"Tiresome Canopy",15543,Philip,Terblanche,amber.deckow@bosco.com,"12870 Carol Ramp Suite 086","West Abigail","South Africa",2720395559029151,04-2028,"Id sit quia voluptatum quaerat soluta ut eos veniam.",1,"Schuppe, Hartmann and Romaguera",India,03-23-2022
